Engine,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Fuel Type,Engine Type,Emission Norm Compliance,Kerb Weight,Drive Type,Transmission,Power
1995 cc,4.0,4.0,DOHC,CRDi,Diesel,xDrive20d Diesel Engine,Euro VI,1740 kg,4WD,Automatic,190 bhp
1984 cc,4.0,4.0,,,Petrol,2.0 TSI,BS VI 2.0,1703 kg,AWD,Automatic,187.74 bhp
799 cc,3.0,4.0,DOHC,MPFi,Petrol,Petrol Engine,BS IV,710 kg,FWD,Manual,53.3 bhp
2993 cc,6.0,4.0,DOHC,CRDi,Diesel,Diesel Engine,Euro IV,2010 kg,AWD,Automatic,258 bhp
999 cc,3.0,4.0,,,Petrol,1.0 SCe,BS VI 2.0,,FWD,Automatic,67.06 bhp
1461 cc,4.0,2.0,SOHC,,Diesel,In-Line Diesel Engine,BS IV,1010 kg,FWD,Manual,63.1 bhp
1995 cc,4.0,4.0,DOHC,CRDi,Diesel,TwinPower Turbo 4-Cylinde,BS VI,1720 kg,RWD,Automatic,188 bhp
1497 cc,4.0,4.0,,MPI,Petrol,SMARTSTREAM G1.5,BS VI,1400 kg,FWD,Automatic,113.43 bhp
1497 cc,3.0,4.0,DOHC,Direct Injection,Petrol,Ti-VCT Petrol Engine,BS IV,1078 kg,FWD,Automatic,121 bhp
796 cc,3.0,4.0,DOHC,MPFi,Petrol,F8D Petrol Engine,BS IV,725 kg,FWD,Manual,47.3 bhp
2179 cc,4.0,4.0,DOHC,CRDi,Diesel,2.2 LTR. VARICOR 400,BS IV,1950 kg,AWD,Automatic,153.86 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk155 Diesel Engine,BS VI,1785 kg,FWD,Manual,152.87 bhp
814 cc,3.0,3.0,SOHC,,Petrol,800 L SOHC 3 Cylinder,,910 kg,RWD,Manual,
1497 cc,4.0,4.0,,Di,Diesel,CRDi,BS VI 2.0,,FWD,Manual,115.05 bhp
1968 cc,4.0,4.0,DOHC,Direct Injection,Diesel,Turbocharged Diesel Engin,BS IV,1608 kg,FWD,Automatic,138.1 bhp
1373 cc,4.0,4.0,DOHC,MPFI,Petrol,k14B VVT Engine,BS IV,1030 kg,FWD,Manual,91.1 bhp
2143 cc,4.0,4.0,,CRDI,Diesel,In-Line Diesel Engine,BS IV,1800 kg,RWD,Automatic,204 bhp
1461 cc,4.0,4.0,DOHC,CRDi,Diesel,K9K dCi Diesel Engine,,1325 kg,,Manual,108.45 bhp
998 cc,3.0,4.0,DOHC,MPFi,Petrol,K Series Petrol Engine,BS IV,779 kg,FWD,Manual,67.05 bhp
1198 cc,3.0,4.0,DOHC,,Petrol,In Line Petrol Engine,BS IV,1100 kg,FWD,Automatic,75.94 bhp
1198 cc,4.0,4.0,SOHC,MPFi,Petrol,i-VTEC Petrol Engine,BS IV,955 kg,FWD,Manual,86.7 bhp
1968 cc,4.0,4.0,DOHC,CRDI,Diesel,TDI Quattro Diesel Engine,Euro IV,1660 kg,AWD,Automatic,174.33 bhp
1198 cc,4.0,4.0,SOHC,PGM - Fi,Petrol,i-VTEC Engine,BS IV,925 kg,FWD,Manual,86.8 bhp
1197 cc,4.0,4.0,SOHC,MPFI,Petrol,1.2-Litre VVT Petrol Engi,BS IV,855 kg,FWD,Automatic,81.80 bhp
1968 cc,4.0,4.0,DOHC,CRDI,Diesel,TDI Diesel Engine,Euro IV,1660 kg,AWD,Automatic,174.33 bhp
1462 cc,4.0,4.0,,,Petrol,K15B Smart Hybrid,BS VI,1130-1170 kg,FWD,Manual,103.25 bhp
1199 cc,3.0,4.0,,,Petrol,1.2L Revotron Engine,BS VI,1030 kg,,Manual,84.82 bhp
1396 cc,4.0,4.0,DOHC,CRDI,Diesel,U2 CRDI Diesel Engine,,1160 kg,FWD,Manual,88.76 bhp
1999 cc,4.0,4.0,,,Petrol,mSTALLION,BS VI 2.0,,FWD,Automatic,197 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,K Series VVT Engine,BS VI,860-895 kg,FWD,Automatic,81.80 bhp
1199 cc,3.0,4.0,,,Petrol,1.2l Turbocharged Revotron Engine,BS VI,1230 kg,,Automatic,118.36 bhp
1086 cc,4.0,3.0,SOHC,MPFI,Petrol,IRDE2 Engine,BS IV,860 kg,FWD,Manual,68.05 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,,1100 kg,FWD,Manual,81.86 bhp
998 cc,3.0,4.0,DOHC,MPFi,Petrol,K10B Engine,BS VI,835 kg,FWD,Manual,67.05 bhp
1199 cc,4.0,4.0,SOHC,MPFi,Petrol,i-VTEC Petrol Engine,BS IV,945 kg,FWD,Automatic,88.76 bhp
1199 cc,3.0,4.0,DOHC,MPFi,Petrol,Revotron Engine,BS IV,1012 kg,FWD,Automatic,83.83 bhp
1199 cc,3.0,4.0,DOHC,MPFi,Petrol,Revotron Engine,,1035-1062 kg,FWD,Automatic,83.81 bhp
1999 cc,4.0,4.0,DOHC,MPFi,Petrol,Dual VTVT Nu 2.0 Petrol,BS IV,1497 kg,2WD,Automatic,152.88 bhp
1198 cc,4.0,4.0,SOHC,PGM - Fi,Petrol,i-VTEC Engine,BS IV,970 kg,FWD,Automatic,86.8 bhp
1248 cc,4.0,4.0,DOHC,,Diesel,DDiS 200 Diesel Engine,BS IV,1240 kg,FWD,Manual,88.5 bhp
1373 cc,4.0,4.0,DOHC,MPFI,Petrol,k14B VVT Engine,BS IV,1010 kg,FWD,Manual,91.1 bhp
2596 cc,4.0,4.0,,,Diesel,FM 2.6L CRDi,BS VI 2.0,,4WD,Manual,138 bhp
1497 cc,4.0,4.0,,MPI,Petrol,SMARTSTREAM G1.5,BS VI,1340 kg,FWD,Manual,113.43 bhp
1197 cc,4.0,4.0,,,Petrol,K12N,BS VI 2.0,845 kg,FWD,Manual,88.50 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,In-Line Engine,Bharat Stage IV,1020 kg,FWD,Manual,
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,BS IV,935 kg,FWD,Automatic,82 bhp
1999 cc,4.0,4.0,,TGDi,Petrol,2.0L Turbo Petrol,BS VI,1850 kg,FWD,Automatic,197.13 bhp
1499 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Ti-VCT Petrol Engine,BS IV,1290 kg,FWD,Automatic,110 bhp
1493 cc,3.0,2.0,,CRDi,Diesel,mHawk 100 Diesel Engine,,1755 kg,RWD,Manual,100 bhp
1193 cc,4.0,2.0,SOHC,MPFi,Petrol,Revotron Engine,BS IV,1095-1125 kg,FWD,Manual,88.7 bhp
1498 cc,4.0,4.0,DOHC,,Diesel,i-DTEC Diesel Engine,BS IV,1055 kg,FWD,Manual,98.6 bhp
1396 cc,4.0,4.0,DOHC,CRDI,Diesel,Diesel Engine,"BS III, BS IV (For Metro Cities)",1140 kg,,Manual,
999 cc,3.0,4.0,DOHC,Direct Injection,Petrol,Ecoboost Petrol Engine,BS IV,1200 kg,FWD,Manual,123.24 bhp
998 cc,3.0,4.0,DOHC,,Petrol,K10B Petrol Engine,BS IV,890 kg,FWD,Manual,67.04 bhp
1198 cc,4.0,2.0,SOHC,,Petrol,In-Line Diesel Engine,BS IV,1035 kg,FWD,Manual,63.1 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,1785 kg,FWD,Manual,152.87 bhp
1198 cc,3.0,4.0,DOHC,MPFI,Petrol,mFALCON G80 Engine,BSIV,1155 kg,FWD,Manual,82 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,BS IV,935 kg,FWD,Manual,82 bhp
998 cc,3.0,4.0,DOHC,MPFi,Petrol,K10B Engine,BS IV,847 kg,FWD,Automatic,67.04 bhp
1497 cc,4.0,4.0,SOHC,PGM-Fi,Petrol,i VTEC Engine,BS IV,1061 kg,FWD,Manual,117.6 bhp
998 cc,3.0,4.0,DOHC,,Petrol,K10B Petrol Engine,BS IV,885 kg,FWD,Manual,67.04 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Kappa VTVT Petrol Engine,BS IV,1140 kg,FWD,Manual,82 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,MPI Petrol Engine,BS IV,1142 kg,FWD,Manual,103.2 bhp
2143 cc,4.0,4.0,DOHC,CRDi,Diesel,Diesel Engine,,1585 kg,AWD,Automatic,136 bhp
1199 cc,3.0,4.0,,,Petrol,1.2l Turbocharged Revotron Engine,BS VI,1310 kg,,Automatic,118.35 bhp
1199 cc,4.0,4.0,SOHC,PGM - Fi,Petrol,i-VTEC Petrol Engine,BS IV,1044 kg,FWD,Manual,88.7 bhp
1196 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Ti-VCT Petrol Engine,BS IV,995-1015 kg,FWD,Manual,86.8 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,1635 kg,AWD,Manual,140 bhp
998 cc,3.0,4.0,DOHC,MPFi,Petrol,K10B Engine,BS IV,840 kg,FWD,Automatic,67.04 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 l Kappa,BS VI 2.0,,FWD,Automatic,87 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 L Petrol Engine,BS VI 2.0,920-955 kg,FWD,Manual,88.50 bhp
1197 cc,4.0,4.0,,,Petrol,,BS VI,880-915 kg,,Automatic,88.50 bhp
999 cc,3.0,4.0,,MPFi,Petrol,,BS VI,947 kg,,Manual,71.01 bhp
1591 cc,4.0,4.0,DOHC,MPFI,Petrol,VTVT Petrol Engine,BS IV,1238 kg,FWD,Automatic,121.3 bhp
1199 cc,4.0,4.0,SOHC,MPFi,Petrol,i-VTEC Petrol Engine,BS IV,917 kg,FWD,Manual,88.76 bhp
1199 cc,3.0,4.0,,,Petrol,1.2l Turbocharged Revotron Engine,BS VI,1195 kg,,Manual,118.36 bhp
2359 cc,4.0,4.0,DOHC,Gasoline Direct Injection,Petrol,GDi Petrol Engine,BSIV,2080 kg,FWD,Automatic,198.25 bhp
1497 cc,4.0,4.0,DOHC,MPi,Petrol,1.5 L MPi Petrol,BS VI 2.0,1430 kg,2WD,Manual,113.18 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,TSI Petrol Engine,BS IV,1109 kg,FWD,Automatic,103.5 bhp
999 cc,3.0,4.0,,,Petrol,1.0 B4D,BS VI 2.0,1019 kg,FWD,Automatic,71 bhp
999 cc,3.0,4.0,,MPFi,Petrol,,BS VI,947 kg,,Automatic,71.01 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,,1054-1093 kg,FWD,Automatic,81.86 bhp
1196 cc,4.0,4.0,DOHC,SEFI,Petrol,Petrol Engine,BS IV,1060 kg,Front Wheel Drive,Manual,70 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,,1160 kg,FWD,Manual,81.86 bhp
1586 cc,4.0,4.0,DOHC,MPFI,Petrol,VVT Petrol Engine,BS IV,1170 kg,FWD,Manual,103.3 bhp
,,,,,Electric,,ZEV,,FWD,Automatic,174.33 bhp
998 cc,3.0,4.0,,,Petrol,K10C,BS VI 2.0,825 kg,FWD,Manual,65.71 bhp
