Mileage,Engine,Kerb Weight,Fuel,Transmission Type,Power,No. of Cylinders,Registration Year
24.1 kmpl,1498 cc,1191-1217 kg,Diesel,Manual,97.89 bhp,4.0,Jul 2022
22 kmpl,999 cc,750 kg,Petrol,Automatic,67 bhp,3.0,Jun 2021
27.39 kmpl,1248 cc,985 kg,Diesel,Manual,74 bhp,4.0,Oct 2019
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2018
20.28 kmpl,998 cc,1220 kg,Petrol,Automatic,118.41 bhp,3.0,Mar 2022
,,1120 kg,Petrol,Manual,,4.0,Aug 2014
20.14 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Mar 2018
15.9 kmpl,1496 cc,1221 kg,Petrol,Manual,120.69 bhp,3.0,Sept 2018
22.15 kmpl,1498 cc,1238 kg,Diesel,Automatic,108.6 bhp,4.0,Aug 2017
17.8 kmpl,1496 cc,1135 kg,Petrol,Automatic,105.94 bhp,4.0,Jul 2018
27.39 kmpl,1248 cc,960-985 kg,Diesel,Manual,74 bhp,4.0,Jun 2021
22.38 kmpl,1197 cc,875-905 kg,Petrol,Manual,88.50 bhp,4.0,Nov 2016
17.1 kmpl,1199 cc,1085 kg,Petrol,Automatic,88.50 bhp,4.0,Dec 2020
19 kmpl,1199 cc,1062 kg,Petrol,Automatic,88.7 bhp,4.0,Jul 2016
27.39 kmpl,1248 cc,985 kg,Diesel,Manual,74 bhp,4.0,Jan 2016
21.21 kmpl,1197 cc,860-895 kg,Petrol,Manual,81.80 bhp,4.0,Dec 2020
21.21 kmpl,1197 cc,855-885 kg,Petrol,Manual,81.80 bhp,4.0,Jan 2019
24.4 kmpl,1120 cc,1120 kg,Diesel,Manual,71 bhp,3.0,Jul 2017
20.14 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2014
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2017
21.4 kmpl,1197 cc,910 kg,Petrol,Automatic,83.1 bhp,4.0,Sept 2017
18.9 kmpl,1197 cc,1200 kg,Petrol,Automatic,81.86 bhp,4.0,Mar 2019
18.15 kmpl,1198 cc,975 kg,Petrol,Manual,82 bhp,3.0,Mar 2018
21.4 kmpl,1197 cc,870 kg,Petrol,Manual,83.1 bhp,4.0,Sept 2017
21.79 kmpl,998 cc,805-825 kg,Petrol,Manual,67.05 bhp,3.0,Mar 2019
23.59 kmpl,1364 cc,1030 kg,Diesel,Manual,67.06 bhp,4.0,Jan 2015
20.7 kmpl,1197 cc,1160 kg,Petrol,Manual,81.86 bhp,4.0,Sept 2022
18.2 kmpl,1199 cc,1066 kg,Petrol,Automatic,88.7 bhp,4.0,Oct 2020
17.01 kmpl,1591 cc,1250 kg,Petrol,Manual,121.3 bhp,4.0,Nov 2015
19 kmpl,1199 cc,1066 kg,Petrol,Automatic,88.7 bhp,4.0,Oct 2016
18.2 kmpl,1199 cc,1066 kg,Petrol,Automatic,88.7 bhp,4.0,Nov 2018
20.7 kmpl,1197 cc,1160 kg,Petrol,Manual,81.86 bhp,4.0,Aug 2020
19.47 kmpl,999 cc,1160-1215 kg,Petrol,Manual,113.98 bhp,3.0,Nov 2022
18.3 kmpl,1498 cc,1107-1153 kg,Petrol,Automatic,119.35 bhp,4.0,Feb 2021
19.33 kmpl,1199 cc,1025 kg,Petrol,Manual,86.83 bhp,3.0,Jul 2024
17.03 kmpl,1462 cc,1110-1130 kg,Petrol,Manual,103.26 bhp,4.0,Sept 2022
19.33 kmpl,1199 cc,1030 kg,Petrol,Manual,86.83 bhp,3.0,May 2022
24.3 kmpl,1248 cc,1190 kg,,Manual,88.5 bhp,4.0,Oct 2019
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Feb 2012
24.35 kmpl,998 cc,825 kg,Petrol,Manual,65.71 bhp,3.0,Jun 2015
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2017
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jun 2017
22 kmpl,814 cc,910 kg,Petrol,Manual,,3.0,Mar 2018
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Jan 2015
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Sept 2015
25.17 kmpl,799 cc,710 kg,Petrol,Manual,53.3 bhp,3.0,May 2016
