Registration Year,Insurance,Fuel,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2024.0,Unknown,Diesel,5.0,500 - 27000,1,1497 - 5461,Automatic,138 - 536,4WD,5 - 17,Turbocharged,121 - 536,4400 - 6000,242 - 750,1400 - 2800,4.0,4.0,MPFi,Twin,Automatic,8.0,Not Applicable,Not Applicable,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Ventilated Disc,Ventilated Disc,4420 - 5391,1780 - 2230,1640 - 1995,163 - 165,2650 - 3215,Unknown,6500000.0,11 - 17,60 - 100,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,500 - 27000,1,1199 - 1497,Automatic,108 - 138,2WD,5 - 17,Standard,101 - 121,6000 - 7900,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Automatic,6.0,7 - 17,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,3995 - 4420,1780 - 2230,1530 - 1640,163 - 165,2550 - 2650,Unknown,1748999.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2022.0,Unknown,Petrol,5.0,500 - 27000,1,1197 - 1199,Automatic,85 - 108,FWD,17 - 18,Standard Brand Engine,81 - 101,4400 - 6000,101 - 113,4500 - 6000,4.0,4.0,MPFi,No,Automatic,6.0,17 - 18,27 - 35,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,163 - 165,2456 - 2550,Unknown,745000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Comprehensive,Petrol,5.0,500 - 27000,1,796 - 1197,Automatic,108 - 138,FWD,17 - 18,Standard,101 - 121,4400 - 6000,146 - 242,2800 - 3500,3.0,4.0,MPFi,Yes,Automatic,6.0,18 - 20,40 - 43,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,3746 - 3995,1780 - 2230,1530 - 1640,163 - 165,2550 - 2650,Unknown,950000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Unknown,Diesel,6.0,500 - 27000,1,1497 - 5461,Automatic,138 - 536,4WD,17 - 18,Standard,121 - 536,3000 - 4400,242 - 750,1400 - 2800,6.0,4.0,MPFi,Yes,Automatic,8.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,4420 - 5391,1780 - 2230,1640 - 1995,100 - 163,2650 - 3215,Unknown,,11 - 17,35 - 37,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2017.0,Comprehensive,Petrol,5.0,500 - 27000,1,1197 - 1199,Manual,78 - 85,FWD,21 - 34,V-Type,81 - 101,4400 - 6000,113 - 146,2800 - 3500,3.0,4.0,MPFi,No,Manual,5.0,20 - 27,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4 - 3746,1 - 1647,1530 - 1640,165 - 170,2 - 2400,Unknown,335000.0,Not Applicable,Not Applicable,121 - 150,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Zero Dep,,5.0,500 - 27000,1,796 - 1197,Automatic,138 - 536,FWD,18 - 21,In-Line,121 - 536,4400 - 6000,242 - 750,3500 - 4000,4.0,4.0,MPFi,Yes,Automatic,1.0,Not Applicable,Not Applicable,ZEV,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,3995 - 4420,1780 - 2230,1640 - 1995,100 - 163,2550 - 2650,Unknown,1645000.0,Not Applicable,Not Applicable,165 - 185,0,40 - 71,58 - 1220,480 - 564,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II
2024.0,Comprehensive,Petrol,6.0,500 - 27000,1,1199 - 1497,Automatic,138 - 536,FWD,21 - 34,Standard,121 - 536,4400 - 6000,242 - 750,2800 - 3500,4.0,4.0,Direct Injection,Yes,Automatic,7.0,18 - 20,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1640 - 1995,163 - 165,2650 - 3215,Unknown,1695000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2025.0,Unknown,,5.0,500 - 27000,1,1197 - 1199,Automatic,108 - 138,FWD,5 - 17,Standard,101 - 121,4400 - 6000,146 - 242,3500 - 4000,3.0,4.0,MPFi,No,Automatic,7.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3995 - 4420,1780 - 2230,1530 - 1640,178 - 307,2550 - 2650,Unknown,1200000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,500 - 27000,1,1199 - 1497,Automatic,108 - 138,2WD,5 - 17,Standard,101 - 121,6000 - 7900,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Automatic,6.0,7 - 17,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,3995 - 4420,1780 - 2230,1530 - 1640,178 - 307,2550 - 2650,Unknown,1511000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2018.0,Comprehensive,Petrol,5.0,42143 - 60000,1,796 - 1197,Automatic,34 - 72,FWD,21 - 34,Standard,34 - 73,4400 - 6000,11 - 101,2800 - 3500,3.0,4.0,MPFi,No,Automatic,5.0,20 - 27,27 - 35,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,4 - 3746,1 - 1647,1530 - 1640,163 - 165,2400 - 2456,1140 - 1340,364000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2025.0,Zero Dep,Petrol,5.0,500 - 27000,1,1497 - 5461,Automatic,138 - 536,AWD,5 - 17,Turbocharged,121 - 536,4400 - 6000,242 - 750,3500 - 4000,4.0,4.0,Direct Injection,No,Automatic,8.0,18 - 20,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Ventilated Disc,4420 - 5391,1780 - 2230,1640 - 1995,100 - 163,2400 - 2456,1755 - 3250,7650000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2021.0,Unknown,Petrol,5.0,60000 - 86000,1,1199 - 1497,Manual,108 - 138,FWD,21 - 34,Standard,101 - 121,6000 - 7900,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Manual,6.0,18 - 20,43 - 93,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,3995 - 4420,1780 - 2230,1530 - 1640,165 - 170,2550 - 2650,Unknown,901000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2014.0,Unknown,Petrol,5.0,86000 - 160000,1,1197 - 1199,Manual,85 - 108,FWD,17 - 18,V-Type,81 - 101,4400 - 6000,101 - 113,4000 - 4500,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,27 - 35,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,163 - 165,2400 - 2456,Unknown,360000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
