Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Volume
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,18.41,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,248000.0,16.46,80.0,250,16556244138.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,260000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,390000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,1666000.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,260000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,390000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,1666000.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,260000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,150000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,1666000.0,27.39,37.0,170,10526625250.0
