Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2014.0,Comprehensive,CNG,5.0,59556,2,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,650000.0,137,9146858500.0
2019.0,Comprehensive,CNG,5.0,104000,1,1086,Manual,FWD,30.48,In-Line,58.0,5500.0,84.33,4500.0,3.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,188.0,2400.0,Unknown,530000.0,Unknown,9263982000.0
2024.0,Comprehensive,CNG,5.0,3905,1,1197,Manual,FWD,30.61,Standard,76.43,6000.0,98.5,4300.0,4.0,Manual,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1450.0,110000.0,Unknown,10443825000.0
2019.0,Comprehensive,CNG,5.0,104000,1,1086,Manual,FWD,30.48,In-Line,58.0,5500.0,84.33,4500.0,3.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,188.0,2400.0,Unknown,850000.0,Unknown,9263982000.0
2024.0,Comprehensive,CNG,5.0,3905,1,1197,Manual,FWD,30.61,Standard,76.43,6000.0,98.5,4300.0,4.0,Manual,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1450.0,1375000.0,Unknown,10443825000.0
2015.0,Comprehensive,CNG,7.0,71000,2,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,819999.0,164,12269698200.0
2015.0,Comprehensive,CNG,7.0,71000,2,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,3250000.0,164,12269698200.0
2022.0,Comprehensive,CNG,5.0,29000,1,1197,Manual,FWD,28.0,Standard,68.05,6000.0,95.2,4000.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,160.0,2450.0,Unknown,540000.0,Unknown,10201632000.0
2019.0,Comprehensive,CNG,5.0,64000,2,998,Manual,FWD,31.79,Standard,58.33,6000.0,78.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,165.0,2425.0,1350.0,260000.0,150,9222720000.0
2019.0,Comprehensive,CNG,5.0,64000,2,998,Manual,FWD,31.79,Standard,58.33,6000.0,78.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,165.0,2425.0,1350.0,,150,9222720000.0
