Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2011.0,Unknown,5.0,100000,1,1497,Manual,FWD,17.0,In-Line,118.0,6600.0,146.0,4800.0,4.0,EFI,No,Manual,5.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,160.0,2550.0,Unknown,300000.0,Unknown,11088012000.0
2021.0,Unknown,5.0,29308,1,1451,Automatic,FWD,9.0,Turbocharged,141.0,5000.0,250.0,3600.0,4.0,CRDi,Yes,Automatic,8.0,17.0,60.0,BS VI,MacPherson Strut,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,192.0,2750.0,Unknown,1075000.0,Unknown,15033788000.0
2015.0,Comprehensive,5.0,47788,1,998,Automatic,FWD,26.68,Standard,67.77,5600.0,91.1,3400.0,4.0,CRDi,Yes,Automatic,5.0,26.68,32.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Ventilated Disc,Drum,165.0,2435.0,1260.0,332000.0,Unknown,9509174875.0
2023.0,Unknown,5.0,12000,1,998,Manual,FWD,18.2,Standard,118.36,6000.0,172.0,4000.0,4.0,Direct Injection,Yes,Manual,6.0,18.2,45.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,165.0,2500.0,Unknown,1000000.0,Unknown,11742024100.0
2018.0,Comprehensive,5.0,37703,1,1199,Manual,FWD,20.3,V-Type,84.0,6000.0,114.0,3500.0,4.0,MPFi,No,Manual,5.0,20.3,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2450.0,Unknown,437000.0,Unknown,10289575608.0
2024.0,Unknown,5.0,20700,1,1490,Automatic,FWD,27.97,Standard,91.18,5500.0,122.0,4800.0,4.0,MPFi,No,Automatic,5.0,27.97,45.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Solid Disc,170.0,2600.0,1755.0,1975000.0,180,12888862875.0
2024.0,Unknown,5.0,5000,1,1197,Automatic,FWD,17.96,Standard,109.96,5000.0,200.0,3500.0,4.0,CRDi,Yes,Automatic,6.0,17.96,42.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,170.0,2600.0,Unknown,1200000.0,Unknown,11966756130.0
2018.0,Third Party,5.0,48741,1,998,Manual,FWD,23.1,Standard,67.04,6000.0,90.0,3500.0,4.0,MPFi,No,Manual,5.0,23.1,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,165.0,2425.0,1250.0,395000.0,150,9252280000.0
2020.0,Unknown,5.0,40000,2,999,Automatic,2WD,23.0,Standard,67.0,5500.0,91.0,4250.0,4.0,MPFi,No,Automatic,5.0,23.0,28.0,BS IV,Standard/Other,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,170.0,2348.0,Unknown,250000.0,Unknown,8243178840.0
2024.0,Comprehensive,5.0,8200,1,1498,Automatic,FWD,17.88,Standard,147.51,6000.0,250.0,3500.0,4.0,Direct Injection,Yes,Automatic,7.0,17.88,35.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,188.0,2651.0,1700.0,1479000.0,150,11975483520.0
2018.0,Comprehensive,5.0,19000,1,1197,Automatic,FWD,20.89,Standard,81.8,6000.0,113.0,4200.0,4.0,MPFi,No,Automatic,5.0,20.89,32.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,180.0,2435.0,Unknown,450000.0,Unknown,9973535000.0
2024.0,Unknown,5.0,4000,1,998,Manual,FWD,24.76,Standard,65.71,5500.0,89.0,3500.0,4.0,MPFi,No,Manual,5.0,24.76,27.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,160.0,2380.0,1170.0,523000.0,148,8491259600.0
2023.0,Zero Dep,5.0,5000,1,1991,Automatic,RWD,19.1,In-Line,194.44,6100.0,320.0,4000.0,4.0,Direct Injection,No,Automatic,9.0,15.0,80.0,BS VI 2.0,Standard/Other,Standard/Other,Electric,Tilt Only,Ventilated Disc,Solid Disc,165.0,2850.0,Unknown,5790000.0,240,14112052500.0
2023.0,Zero Dep,5.0,28000,1,1984,Automatic,AWD,19.0,In-Line,187.74,6000.0,320.0,4100.0,4.0,Direct Injection,No,Automatic,7.0,17.0,35.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Drum,178.0,2680.0,Unknown,3690000.0,220,14232946968.0
2023.0,Zero Dep,4.0,13000,1,1462,Automatic,4WD,16.39,Standard,103.0,6000.0,134.2,4000.0,4.0,MPFi,No,Automatic,4.0,16.39,40.0,BS VI 2.0,Standard/Other,Standard/Other,Electric,Tilt Only,Solid Disc,Drum,210.0,2590.0,1545.0,819999.0,155,11275159000.0
2014.0,Unknown,5.0,160000,1,1198,Manual,FWD,18.0,V-Type,86.7,6000.0,109.0,4500.0,4.0,MPFi,No,Manual,5.0,18.0,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,165.0,2405.0,Unknown,1080000.0,160,10088316000.0
2013.0,Unknown,5.0,60000,2,1197,Automatic,FWD,16.95,Standard,78.9,6000.0,111.8,4000.0,4.0,MPFi,No,Automatic,4.0,16.95,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,165.0,2380.0,Unknown,360000.0,Unknown,8863016250.0
