Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2022.0,Unknown,Petrol,5.0,17000,1,1199,Automatic,88.50 bhp,FWD,18.3,Standard Brand Engine,88.5,6000.0,110.0,4800.0,4.0,4.0,Direct Injection,No,Automatic,6.0,18.3,35.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3995.0,1695.0,1498.0,226.0,2470.0,Unknown,745000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Comprehensive,Petrol,5.0,10370,1,1197,Automatic,108.62 bhp,FWD,27.39,Standard,108.62,5000.0,200.0,3500.0,3.0,4.0,MPFi,Yes,Automatic,6.0,17.0,42.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,3995.0,1821.0,1627.0,160.0,2600.0,Unknown,950000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Unknown,Diesel,6.0,10000,1,2993,Automatic,335.25 bhp,4WD,18.9,Standard,335.25,4400.0,700.0,2250.0,6.0,4.0,MPFi,No,Automatic,8.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,5181.0,2218.0,1835.0,165.0,2651.0,Unknown,,14.31,37.0,245,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2017.0,Comprehensive,Petrol,5.0,25000,1,1199,Manual,84 bhp,FWD,23.84,V-Type,84.0,6000.0,114.0,3500.0,3.0,4.0,MPFi,No,Manual,5.0,23.84,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3746.0,1647.0,1535.0,170.0,2400.0,Unknown,335000.0,Not Applicable,Not Applicable,150,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Zero Dep,Electric,5.0,9500,1,1197,Automatic,174.33 bhp,FWD,21.1,In-Line,174.33,6000.0,280.0,4000.0,4.0,4.0,MPFi,No,Automatic,1.0,Not Applicable,Not Applicable,ZEV,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,4323.0,1809.0,1649.0,165.0,2585.0,Unknown,1645000.0,Not Applicable,Not Applicable,175,0,50.3,60.0,540.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II
2024.0,Comprehensive,Petrol,6.0,23000,1,1482,Automatic,157.81 bhp,FWD,21.56,Standard,157.81,5500.0,253.0,3500.0,4.0,4.0,Direct Injection,Yes,Automatic,7.0,17.0,45.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4540.0,1800.0,1708.0,160.0,2780.0,Unknown,1695000.0,Not Applicable,Not Applicable,174,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2025.0,Unknown,Petrol,5.0,10000,1,1199,Automatic,118 bhp,FWD,11.0,Standard,118.0,5500.0,170.0,4000.0,3.0,4.0,MPFi,No,Automatic,7.0,17.0,44.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,4308.0,1810.0,1630.0,208.0,2560.0,Unknown,1200000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,14000,1,1497,Automatic,113.18 bhp,2WD,14.0,Standard,113.18,6300.0,143.8,4500.0,4.0,4.0,MPFi,No,Automatic,6.0,14.0,50.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,4300.0,1790.0,1635.0,120.0,2610.0,Unknown,1511000.0,Not Applicable,Not Applicable,195,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2018.0,Comprehensive,Petrol,5.0,55967,1,998,Automatic,67.05 bhp,FWD,21.63,Standard,67.05,6000.0,90.0,3500.0,3.0,4.0,MPFi,No,Automatic,5.0,21.63,35.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,3695.0,1600.0,1560.0,165.0,2425.0,1250.0,364000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2025.0,Zero Dep,Petrol,5.0,1700,1,1997,Automatic,246.74 bhp,AWD,27.39,Turbocharged,246.74,5500.0,365.0,4000.0,4.0,4.0,MPFi,Yes,Automatic,8.0,17.0,82.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Ventilated Disc,4747.0,2175.0,1664.0,165.0,2445.0,2520.0,7650000.0,Not Applicable,Not Applicable,217,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2021.0,Unknown,Petrol,5.0,80000,1,1497,Manual,113.18 bhp,FWD,19.49,Standard,113.18,6300.0,143.8,4500.0,4.0,4.0,MPFi,No,Manual,6.0,17.0,50.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,4300.0,1790.0,1635.0,165.0,2610.0,Unknown,901000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2014.0,Unknown,Petrol,5.0,160000,1,1198,Manual,86.7 bhp,FWD,18.0,V-Type,86.7,6000.0,109.0,4500.0,4.0,4.0,MPFi,No,Manual,5.0,18.0,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,3990.0,1680.0,1505.0,165.0,2405.0,Unknown,360000.0,Not Applicable,Not Applicable,160,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2013.0,Unknown,Petrol,5.0,60000,2,1197,Automatic,78.9 bhp,FWD,16.95,Standard,78.9,6000.0,111.8,4000.0,4.0,4.0,MPFi,No,Automatic,4.0,16.95,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,3585.0,1595.0,1550.0,165.0,2380.0,Unknown,210000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2011.0,Third Party,Petrol,5.0,66000,2,1497,Manual,,FWD,17.0,In-Line,118.0,6600.0,146.0,4800.0,4.0,4.0,EFI,No,Manual,5.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4420.0,1695.0,1480.0,160.0,2550.0,Unknown,260000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2022.0,Unknown,Petrol,5.0,60000,1,1199,Manual,86.83 bhp,FWD,19.33,Standard,86.83,6000.0,113.0,3300.0,3.0,4.0,MPFi,No,Manual,5.0,19.33,37.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3990.0,1755.0,1523.0,165.0,2501.0,Unknown,819999.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2016.0,Unknown,Diesel,5.0,160000,2,1248,Manual,74 bhp,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,4.0,CRDi,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,3840.0,1735.0,1530.0,163.0,2450.0,1405.0,390000.0,25.2,42.0,155,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2019.0,Unknown,Petrol,5.0,30000,1,1197,Manual,110 bhp,FWD,17.0,Standard,110.0,5000.0,200.0,3500.0,3.0,4.0,MPFi,Yes,Manual,6.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,3995.0,1821.0,1627.0,180.0,2600.0,Unknown,819999.0,Not Applicable,Not Applicable,175,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2014.0,Unknown,Diesel,5.0,90000,2,2993,Automatic,258 bhp,RWD,21.56,Standard,258.0,4000.0,560.0,1500.0,6.0,4.0,CRDi,Yes,Automatic,8.0,Not Applicable,Not Applicable,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,5219.0,2142.0,1481.0,152.0,3210.0,Unknown,1250000.0,16.46,80.0,250,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2011.0,Unknown,Petrol,5.0,100000,1,1497,Manual,,FWD,17.0,In-Line,118.0,6600.0,146.0,4800.0,4.0,4.0,EFI,No,Manual,5.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4420.0,1695.0,1480.0,160.0,2550.0,Unknown,300000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2021.0,Unknown,Petrol,5.0,29308,1,1451,Automatic,141 bhp,FWD,9.0,Turbocharged,141.0,5000.0,250.0,3600.0,4.0,4.0,CRDi,Yes,Automatic,8.0,17.0,60.0,BS VI,MacPherson Strut,Standard/Other,Power,Tilt Only,Solid Disc,Solid Disc,4655.0,1835.0,1760.0,192.0,2750.0,Unknown,1075000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2015.0,Comprehensive,Petrol,5.0,47788,1,998,Automatic,67.77 bhp,FWD,26.68,Standard,67.77,5600.0,91.1,3400.0,3.0,4.0,CRDi,Yes,Automatic,5.0,26.68,32.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Ventilated Disc,Drum,3695.0,1655.0,1555.0,165.0,2435.0,1260.0,332000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
