,car_name,Price,Registration Year,Kms Driven,Ownership,Fuel,Transmission,Drive Type,Engine,Power,Mileage,No. of Cylinders,Turbo Charger,Seats,Kerb Weight,Ground Clearance Unladen,Petrol Fuel Tank Capacity,Diesel Fuel Tank Capacity,CNG Fuel Tank Capacity
915,Tata Tiago,₹3.57 Lakh,Feb 2018,"65,249 Kms",First Owner,CNG,Manual,FWD,1199 cc,74.46 bhp,26.49 km/kg,3.0,,5 Seats,,168 mm,,,60 Litres
916,Tata Tiago,₹3.91 Lakh,Jul 2020,"70,635 Kms",First Owner,Petrol,Automatic,FWD,1199 cc,83.83 bhp,23.84 kmpl,3.0,No,5 Seats,1012 kg,170 mm,35 Litres,,
917,Hyundai i20,₹5.51 Lakh,Apr 2021,"50,465 Kms",First Owner,Petrol,Automatic,,998 cc,118.36 bhp,20.28 kmpl,3.0,Yes,5 Seats,1280 kg,,37 Litres,,
918,Maruti Suzuki Wagon R,₹3.50 Lakh,Mar 2017,"63,000 Kms",First Owner,CNG,Manual,FWD,998 cc,58.16 bhp,26.6 km/kg,3.0,No,5 Seats,960 kg,165 mm,,,7 Litres
919,Maruti Suzuki Swift,₹5.15 Lakh,Dec 2016,"41,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,855-885 kg,163 mm,37 Litres,,
920,Maruti Suzuki Swift,₹5.30 Lakh,Jul 2017,"73,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,855-885 kg,163 mm,37 Litres,,
921,Tata Nexon,₹7.96 Lakh,Aug 2023,"21,445 Kms",First Owner,Diesel,Manual,,1497 cc,108.49 bhp,21.19 kmpl,4.0,Yes,5 Seats,1395 kg,209 mm,,44 Litres,
922,Hyundai Venue,₹8.80 Lakh,Apr 2022,"48,902 Kms",First Owner,Petrol,Automatic,FWD,998 cc,118 bhp,18.31 kmpl,3.0,Yes,5 Seats,,,,,
923,Hyundai Venue,₹8.21 Lakh,Feb 2021,"62,111 Kms",First Owner,Petrol,Automatic,FWD,998 cc,118 bhp,18.31 kmpl,3.0,Yes,5 Seats,,,,,
924,Maruti Suzuki Vitara Brezza,₹6.50 Lakh,Aug 2021,"66,000 Kms",First Owner,Petrol,Manual,FWD,1462 cc,103.26 bhp,17.03 kmpl,4.0,,5 Seats,1110-1130 kg,,48 Litres,,
925,Hyundai Creta,₹8.50 Lakh,Mar 2017,"70,000 Kms",First Owner,,Automatic,FWD,1582 cc,126.2 bhp,17.01 kmpl,4.0,Yes,5 Seats,1320 kg,190 mm,,55 Litres,
926,Hyundai Venue,₹8.49 Lakh,Jul 2021,"43,176 Kms",First Owner,Petrol,Automatic,FWD,998 cc,118 bhp,18.31 kmpl,3.0,Yes,5 Seats,,,,,
927,XZ Plus (O) Diesel,₹7.96 Lakh,Aug 2023,"21,445 Kms",First Owner,Diesel,Manual,,1497 cc,108.49 bhp,21.19 kmpl,4.0,Yes,5 Seats,1395 kg,209 mm,,44 Litres,
928,Maruti Suzuki Ertiga,₹9.25 Lakh,Nov 2023,"31,000 Kms",First Owner,Petrol,Manual,2WD,1462 cc,101.65 bhp,20.51 kmpl,4.0,,7 Seats,1150-1205 kg,,45 Litres,,
929,Hyundai Exter,₹7.61 Lakh,May 2024,"34,458 Kms",First Owner,CNG,Manual,FWD,1197 cc,67.72 bhp,27.1 km/kg,4.0,,5 Seats,,,,,60 Litres
930,Tata Tigor,₹7.50 Lakh,Jan 2026,"28,000 Kms",First Owner,CNG,Manual,FWD,1199 cc,74.47 bhp,26.49 km/kg,3.0,,5 Seats,,,,,70 Litres
931,Maruti Suzuki Ertiga,₹9.19 Lakh,Aug 2021,"31,000 Kms",First Owner,Petrol,Manual,FWD,1373 cc,91.1 bhp,17.5 kmpl,4.0,No,7 Seats,1175 kg,185 mm,45 Litres,,
932,Hyundai Creta,₹12.75 Lakh,Jul 2020,"57,000 Kms",First Owner,Diesel,Automatic,FWD,1582 cc,126.2 bhp,17.6 kmpl,4.0,Yes,5 Seats,1340 kg,,,55 Litres,
933,Maruti Suzuki Alto K10,₹4.40 Lakh,Feb 2024,"13,000 Kms",First Owner,Petrol,Manual,FWD,998 cc,65.71 bhp,24.39 kmpl,3.0,,5 Seats,,,27 Litres,,
934,Ford Endeavour,₹17.90 Lakh,Jul 2018,"65,000 Kms",Second Owner,,Automatic,4WD,3198 cc,197 bhp,10.91 kmpl,4.0,Yes,7 Seats,1879 kg,225 mm,,80 Litres,
935,Maruti Suzuki Ertiga,₹9.50 Lakh,Dec 2020,"42,000 Kms",First Owner,Petrol,Manual,FWD,1462 cc,103.26 bhp,19.01 kmpl,4.0,No,7 Seats,1135-1170 kg,,45 Litres,,
936,Maruti Suzuki Ertiga,₹9.50 Lakh,Aug 2020,"56,000 Kms",First Owner,Petrol,Manual,FWD,1373 cc,91.1 bhp,17.5 kmpl,4.0,No,7 Seats,1180 kg,185 mm,45 Litres,,
937,Mahindra XUV700,₹14.57 Lakh,Jan 2023,"73,096 Kms",First Owner,Petrol,Automatic,FWD,1999 cc,197 bhp,13 kmpl,4.0,Yes,5 Seats,,,60 Litres,,
938,Hyundai Creta,₹12.99 Lakh,Jun 2023,"67,000 Kms",First Owner,Diesel,Manual,2WD,1493 cc,113.45 bhp,18 kmpl,4.0,Yes,5 Seats,1565 kg,,,50 Litres,
939,Toyota Fortuner,₹38.90 Lakh,Mar 2023,"33,000 Kms",First Owner,Diesel,Automatic,2WD,2755 cc,201.15 bhp,14 kmpl,4.0,Yes,7 Seats,,,,80 Litres,
940,Mahindra KUV 100,₹2.55 Lakh,Nov 2017,"56,000 Kms",First Owner,,Manual,FWD,1198 cc,82 bhp,18.15 kmpl,3.0,No,6 Seats,1175 kg,170 mm,35 Litres,,
941,Tata Tigor,₹4.57 Lakh,Mar 2022,"1,12,982 Kms",First Owner,CNG,Manual,,1199 cc,72.40 bhp,26.49 km/kg,3.0,,5 Seats,1030 kg,,,,60 Litres
942,Tata Tiago,₹4.71 Lakh,Mar 2022,"93,523 Kms",First Owner,CNG,Manual,FWD,1199 cc,74.46 bhp,26.49 km/kg,3.0,,5 Seats,,168 mm,,,60 Litres
943,Tata Tiago,₹4.69 Lakh,Sept 2022,"89,259 Kms",First Owner,CNG,Manual,FWD,1199 cc,74.46 bhp,26.49 km/kg,3.0,,5 Seats,,168 mm,,,60 Litres
944,Hyundai Creta,₹8.90 Lakh,Feb 2019,"83,000 Kms",First Owner,Diesel,Manual,FWD,1396 cc,88.7 bhp,22.1 kmpl,4.0,No,5 Seats,1200 kg,,,55 Litres,
945,Audi Q5,₹16.50 Lakh,Apr 2014,"92,000 Kms",First Owner,Diesel,Automatic,AWD,1968 cc,174.3 bhp,,4.0,Yes,5 Seats,1830 kg,200 mm,,75 Litres,
946,BMW X4,₹34.75 Lakh,Nov 2020,"55,000 Kms",Second Owner,Diesel,Automatic,4WD,2993 cc,261.50 bhp,,6.0,Twin,5 Seats,1890 kg,,,68 Litres,
947,Tata Tiago EV,₹7.75 Lakh,May 2023,"40,000 Kms",First Owner,,Automatic,FWD,,73.75 bhp,,,,5 Seats,,,,,
948,Maruti Suzuki Swift,₹2.93 Lakh,Aug 2016,"79,967 Kms",First Owner,Petrol,Manual,FWD,1197 cc,88.50 bhp,22.38 kmpl,4.0,,5 Seats,875-905 kg,,37 Litres,,
949,Maruti Suzuki Alto K10,₹99 Thousand,Nov 2010,"56,000 Kms",First Owner,Petrol,Manual,FWD,998 cc,67.1 bhp,20.92 kmpl,3.0,No,5 Seats,760 kg,160 mm,35 Litres,,
950,Mahindra Marazzo,₹5.15 Lakh,Apr 2019,"84,800 Kms",First Owner,Diesel,Manual,FWD,1497 cc,121 bhp,17.3 kmpl,4.0,Yes,7 Seats,1650 s kg,,,45 Litres,
951,Maruti Suzuki Ertiga,₹5.70 Lakh,Jul 2016,"89,744 Kms",Second Owner,Petrol,Manual,FWD,1373 cc,91.1 bhp,17.5 kmpl,4.0,No,7 Seats,1175 kg,185 mm,45 Litres,,
952,Mahindra Bolero Neo,₹6 Lakh,Oct 2022,"80,302 Kms",Second Owner,,Manual,RWD,1493 cc,98.56 bhp,17.29 kmpl,3.0,Yes,7 Seats,,180 mm,,50 Litres,
953,Maruti Suzuki Swift,₹5.11 Lakh,Dec 2021,"46,000 Kms",First Owner,Petrol,Manual,,1197 cc,88.50 bhp,22.38 kmpl,4.0,,5 Seats,875-905 kg,,37 Litres,,
954,Mahindra Thar,₹10.54 Lakh,May 2022,"72,860 Kms",Second Owner,,Automatic,4WD,2184 cc,130.07 bhp,9 kmpl,4.0,Yes,4 Seats,,226 mm,,57 Litres,
955,Mahindra Thar,₹11.90 Lakh,Nov 2022,"90,000 Kms",First Owner,,Automatic,4X4,2184 cc,130 bhp,9 kmpl,4.0,Yes,4 Seats,1755 kg,226 mm,,57 Litres,
956,Maruti Suzuki Swift,₹2.69 Lakh,Jun 2013,"1,08,881 Kms",First Owner,Petrol,Manual,FWD,1197 cc,80.46 bhp,24.8 kmpl,3.0,No,5 Seats,920 kg,163 mm,37 Litres,,
957,Hyundai Verna,₹3.85 Lakh,Apr 2013,"1,15,322 Kms",First Owner,Diesel,Manual,FWD,1582 cc,126.2 bhp,23.9 kmpl,4.0,Yes,5 Seats,1270 kg,165 mm,,43 Litres,
958,Maruti Suzuki Ertiga,₹10.50 Lakh,Aug 2021,"62,000 Kms",First Owner,CNG,Manual,FWD,1462 cc,91.19 bhp,26.08 km/kg,4.0,No,7 Seats,1235 kg,,,,60 Litres
959,Toyota Fortuner,₹14.75 Lakh,Oct 2015,"80,000 Kms",First Owner,,Automatic,FWD,2982 cc,168.5 bhp,12.55 kmpl,4.0,Yes,7 Seats,1880 kg,220 mm,,80 Litres,
960,Toyota Fortuner,₹15.90 Lakh,Apr 2015,"89,000 Kms",First Owner,,Automatic,FWD,2982 cc,168.5 bhp,12.55 kmpl,4.0,Yes,7 Seats,1880 kg,220 mm,,80 Litres,
961,Maruti Suzuki Ertiga,₹10.25 Lakh,Dec 2021,"20,000 Kms",First Owner,CNG,Manual,FWD,1462 cc,91.19 bhp,26.08 km/kg,4.0,No,7 Seats,1235 kg,,,,60 Litres
962,Renault KWID,₹2.67 Lakh,Mar 2018,"35,824 Kms",First Owner,Petrol,Automatic,FWD,999 cc,67 bhp,24.04 kmpl,3.0,No,5 Seats,730 kg,180 mm,28 Litres,,
963,BMW X1,₹14.75 Lakh,Aug 2015,"65,000 Kms",First Owner,,Automatic,RWD,1995 cc,188 bhp,17.05 kmpl,4.0,Yes,5 Seats,1550 kg,179 mm,,63 Litres,
964,BMW X1,₹16.50 Lakh,Jan 2018,"85,000 Kms",First Owner,Diesel,Automatic,FWD,1995 cc,188 bhp,,4.0,Yes,5 Seats,1590 kg,179 mm,,61 Litres,
965,Mahindra TUV 300,₹4.50 Lakh,2016,"87,000 Kms",First Owner,,Manual,RWD,1493 cc,100 bhp,18.49 kmpl,3.0,Yes,7 Seats,1755 kg,184 mm,,60 Litres,
966,Maruti Suzuki Alto 800,₹2.30 Lakh,2019,"1,23,000 Kms",First Owner,Petrol,Manual,,796 cc,47.33 bhp,22.05 kmpl,3.0,,5 Seats,755 kg,,35 Litres,,
967,Hyundai i20,₹3.25 Lakh,2015,"1,00,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
968,Hyundai Xcent,₹3.80 Lakh,2019,"80,000 Kms",First Owner,Diesel,Manual,FWD,1186 cc,73.97 bhp,25.4 kmpl,3.0,Yes,5 Seats,1080 kg,165 mm,,43 Litres,
969,Tata Tiago,₹3 Lakh,2018,"60,000 Kms",First Owner,Petrol,Manual,FWD,1199 cc,84 bhp,23.84 kmpl,3.0,No,5 Seats,1012 kg,170 mm,35 Litres,,
970,Hyundai i20,₹5.20 Lakh,2017,"2,10,000 Kms",First Owner,Diesel,Manual,FWD,1396 cc,88.73 bhp,22.54 kmpl,4.0,Yes,5 Seats,1515 kg,170 mm,,45 Litres,
971,Hyundai i10,₹2.50 Lakh,2013,"80,000 Kms",Third Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
972,Skoda Fabia,₹2.50 Lakh,2011,"30,000 Kms",First Owner,Petrol,Manual,Two Wheel Drive,1198 cc,73.9 bhp,16.25 kmpl,3.0,No,5 Seats,1070 kg,158 mm,45 Litres,,
973,Datsun RediGO,₹1.48 Lakh,2017,"70,000 Kms",Second Owner,Petrol,Manual,2WD,999 cc,67 bhp,22.5 kmpl,3.0,No,5 Seats,750 kg,,28 Litres,,
974,Honda Amaze,₹2.50 Lakh,2015,"90,000 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,18 kmpl,4.0,No,5 Seats,950 kg,165 mm,35 Litres,,
975,Maruti Suzuki Swift Dzire,₹2.50 Lakh,2013,"1,60,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,85.8 bhp,19.1 kmpl,4.0,No,5 Seats,970 kg,170 mm,42 Litres,,
976,Maruti Suzuki Swift Dzire,₹2.85 Lakh,2014,"90,000 Kms",Third Owner,Petrol,Manual,FWD,1197 cc,85.8 bhp,19.1 kmpl,4.0,No,5 Seats,970 kg,170 mm,42 Litres,,
977,Ford Figo,₹2.99 Lakh,2016,"1,50,000 Kms",Second Owner,Diesel,Manual,FWD,1498 cc,99 bhp,25.83 kmpl,4.0,Yes,5 Seats,1040-1130 kg,174 mm,,40 Litres,
978,Hyundai Santro Xing,₹2.30 Lakh,2011,"1,00,000 Kms",First Owner,Petrol,Manual,,1086 cc,62 bhp,,4.0,No,5 Seats,854 kg,164 mm,35 Litres,,
979,Hyundai i10,₹2.50 Lakh,2014,"70,000 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
980,Hyundai i10,₹2.30 Lakh,2014,"55,000 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,78.9 bhp,20.36 kmpl,4.0,No,5 Seats,930 kg,165 mm,35 Litres,,
981,Hyundai i10,₹3 Lakh,2015,"1,33,500 Kms",First Owner,Petrol,Manual,FWD,1197 cc,78.9 bhp,20.36 kmpl,4.0,No,5 Seats,1100 kg,165 mm,35 Litres,,
982,Tata Zest,₹2.25 Lakh,2015,"1,50,000 Kms",First Owner,Diesel,Manual,FWD,1248 cc,88.7 bhp,20.65 kmpl,4.0,Yes,5 Seats,1155 kg,170 mm,,44 Litres,
983,Hyundai i10,₹2.60 Lakh,2012,"78,000 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,78.9 bhp,20.36 kmpl,4.0,No,5 Seats,930 kg,165 mm,35 Litres,,
984,Hyundai i10,₹2.25 Lakh,2013,"70,000 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,78.9 bhp,20.36 kmpl,4.0,No,5 Seats,930 kg,165 mm,35 Litres,,
985,Hyundai Grand i10,₹4 Lakh,2017,"90,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1060 kg,165 mm,43 Litres,,
986,Tata Tiago,₹3.60 Lakh,2020,"80,000 Kms",Second Owner,Petrol,Manual,,1199 cc,84.82 bhp,20.09 kmpl,3.0,,5 Seats,1100 kg,170 mm,35 Litres,,
987,Hyundai Xcent,₹3.21 Lakh,2017,"1,60,000 Kms",First Owner,Diesel,Manual,FWD,1186 cc,73.97 bhp,25.4 kmpl,3.0,Yes,5 Seats,1100 kg,165 mm,,43 Litres,
988,Tata Tiago,₹4.50 Lakh,2017,"90,000 Kms",First Owner,Petrol,Manual,FWD,1199 cc,84 bhp,23.84 kmpl,3.0,No,5 Seats,980 kg,170 mm,35 Litres,,
989,Hyundai i20,₹4.50 Lakh,2015,"90,000 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
990,Hyundai Grand i10,₹3.25 Lakh,2016,"1,50,000 Kms",First Owner,Diesel,Manual,FWD,1120 cc,70 bhp,24 kmpl,3.0,No,5 Seats,1025 kg,165 mm,,43 Litres,
991,Honda City,₹4 Lakh,2015,"80,000 Kms",Second Owner,Petrol,Manual,FWD,1497 cc,117.3 bhp,17.4 kmpl,4.0,No,5 Seats,1042 kg,165 mm,40 Litres,,
992,Hyundai i20,₹6 Lakh,2019,"70,000 Kms",First Owner,Diesel,Manual,FWD,1396 cc,88.76 bhp,22.54 kmpl,4.0,Yes,5 Seats,1160 kg,170 mm,,40 Litres,
993,Honda City,₹5.35 Lakh,2018,"1,50,000 Kms",First Owner,Petrol,Manual,FWD,1497 cc,117.6 bhp,17.4 kmpl,4.0,No,5 Seats,1063 kg,165 mm,40 Litres,,
994,Hyundai i20,₹4.50 Lakh,2014,"55,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,82.85 bhp,18.5 kmpl,4.0,No,5 Seats,1040 kg,,45 Litres,,
995,Honda Amaze,₹5 Lakh,2019,"40,000 Kms",First Owner,Petrol,Manual,FWD,1199 cc,88.76 bhp,19.5 kmpl,4.0,No,5 Seats,917 kg,170 mm,35 Litres,,
996,Hyundai i10,₹3.51 Lakh,2016,"80,000 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
997,Hyundai i20,₹3.50 Lakh,2015,"40,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
998,Hyundai Xcent,₹3.30 Lakh,2014,"57,300 Kms",First Owner,Petrol,Manual,FWD,1197 cc,82 bhp,19.1 kmpl,4.0,No,5 Seats,1160 kg,165 mm,43 Litres,,
999,Honda City,₹8 Lakh,2019,"20,000 Kms",First Owner,Petrol,Automatic,FWD,1497 cc,117.6 bhp,18 kmpl,4.0,No,5 Seats,1100 kg,165 mm,40 Litres,,
1000,Honda Amaze 2nd Gen,₹7.50 Lakh,2022,"30,000 Kms",First Owner,Petrol,Manual,,1199 cc,88.50 bhp,18.6 kmpl,4.0,,5 Seats,907-934 kg,,35 Litres,,
1001,Hyundai Creta,₹7.50 Lakh,2018,"1,21,000 Kms",Second Owner,Petrol,Manual,FWD,1591 cc,121.3 bhp,15.8 kmpl,4.0,No,5 Seats,1260 kg,,55 Litres,,
1002,Tata Safari,₹22 Lakh,2023,"30,000 Kms",First Owner,Diesel,Manual,FWD,1956 cc,167.62 bhp,14 kmpl,4.0,Yes,7 Seats,,,,50 Litres,
1003,Hyundai i10,₹2.50 Lakh,2016,"40,000 Kms",Third Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
1004,Volkswagen Taigun,₹21 Lakh,2024,"10,000 Kms",First Owner,,Automatic,FWD,1498 cc,147.51 bhp,17.88 kmpl,4.0,Yes,5 Seats,1312 kg,188 mm,50 Litres,,
1005,Jeep Compass,₹12 Lakh,2018,"1,43,000 Kms",First Owner,,Manual,4X2,1956 cc,170.63 bhp,17.1 kmpl,4.0,Yes,5 Seats,1551 s kg,178 mm,,60 Litres,
1006,Kia Seltos,₹11.25 Lakh,2023,"50,000 Kms",Second Owner,Petrol,Automatic,2WD,1497 cc,113.42 bhp,17.7 kmpl,4.0,No,5 Seats,,,50 Litres,,
1007,Toyota Hyryder,₹11.50 Lakh,2023,"70,000 Kms",First Owner,Petrol,Manual,FWD,1462 cc,101.64 bhp,21.12 kmpl,4.0,,5 Seats,1145-1290 kg,,45 Litres,,
1008,Volkswagen Tiguan,₹15 Lakh,2023,"60,000 Kms",First Owner,Petrol,Automatic,AWD,1984 cc,187.74 bhp,12.65 kmpl,4.0,Yes,5 Seats,1703 kg,,60 Litres,,
1009,Maruti Suzuki Alto K10,₹2.50 Lakh,2014,"1,20,000 Kms",Fifth Owner,Petrol,Manual,FWD,998 cc,67.1 bhp,20.92 kmpl,3.0,No,5 Seats,760 kg,160 mm,35 Litres,,
1010,Toyota Etios,₹3 Lakh,2012,"1,90,000 Kms",First Owner,Diesel,Manual,,1364 cc,,23.59 kmpl,4.0,,5 Seats,920 kg,,,45 Litres,
1011,Datsun GO Plus,₹1.65 Lakh,2019,"50,000 Kms",Third Owner,Petrol,Manual,FWD,1198 cc,67 bhp,19.83 kmpl,3.0,No,7 Seats,882 kg,,35 Litres,,
1012,Honda Amaze,₹3 Lakh,2017,"1,60,000 Kms",First Owner,Diesel,Manual,FWD,1498 cc,98.6 bhp,25.8 kmpl,4.0,Yes,5 Seats,1065 kg,165 mm,,35 Litres,
1013,Maruti Suzuki Wagon R,₹2.75 Lakh,2017,"1,00,000 Kms",First Owner,Petrol,Manual,FWD,998 cc,67.04 bhp,20.51 kmpl,3.0,No,5 Seats,885 kg,165 mm,35 Litres,,
1014,Tata Tiago,₹2.80 Lakh,2017,"80,000 Kms",Second Owner,Petrol,Manual,FWD,1199 cc,84 bhp,23.84 kmpl,3.0,No,5 Seats,1012 kg,170 mm,35 Litres,,
1015,Maruti Suzuki Wagon R,₹1.30 Lakh,2012,"1,20,000 Kms",Third Owner,Petrol,Manual,FWD,998 cc,67.1 bhp,18.9 kmpl,3.0,No,5 Seats,870 kg,165 mm,35 Litres,,
1016,Maruti Suzuki Wagon R,₹2.25 Lakh,2014,"1,00,000 Kms",Third Owner,Petrol,Manual,FWD,998 cc,67.04 bhp,20.51 kmpl,3.0,No,5 Seats,885 kg,165 mm,35 Litres,,
1017,Maruti Suzuki Wagon R,₹1.25 Lakh,2012,"1,20,000 Kms",Third Owner,Petrol,Manual,FWD,998 cc,67.1 bhp,18.9 kmpl,3.0,No,5 Seats,885 kg,165 mm,35 Litres,,
1018,Tata Zest,₹2.40 Lakh,2018,"50,000 Kms",First Owner,Petrol,Manual,FWD,1193 cc,88.7 bhp,17.57 kmpl,4.0,Yes,5 Seats,1115 kg,170 mm,44 Litres,,
1019,Renault KWID,₹2.70 Lakh,2018,"40,000 Kms",Second Owner,Petrol,Manual,FWD,999 cc,67 bhp,23.01 kmpl,3.0,No,5 Seats,730 kg,180 mm,28 Litres,,
1020,LXI BS IV,₹2.03 Lakh,2013,"1,00,000 Kms",Second Owner,Petrol,Manual,FWD,998 cc,67.04 bhp,20.51 kmpl,3.0,No,5 Seats,870 kg,165 mm,35 Litres,,
1021,Maruti Suzuki Wagon R,₹2 Lakh,2011,"1,60,000 Kms",Third Owner,Petrol,Manual,FWD,998 cc,67.1 bhp,18.9 kmpl,3.0,No,5 Seats,885 kg,165 mm,35 Litres,,
1022,Nissan Micra,₹2 Lakh,2011,"80,000 Kms",First Owner,Diesel,Manual,Two Whhel Drive,1461 cc,63.1 bhp,23.08 kmpl,4.0,No,5 Seats,1008 kg,,,41 Litres,
1023,Datsun GO Plus,₹1.85 Lakh,2019,"47,200 Kms",Third Owner,Petrol,Manual,FWD,1198 cc,67 bhp,19.83 kmpl,3.0,No,7 Seats,882 kg,,35 Litres,,
1024,Maruti Suzuki Celerio,₹2.50 Lakh,2014,"1,10,000 Kms",First Owner,Petrol,Manual,FWD,998 cc,67.04 bhp,23.1 kmpl,3.0,No,5 Seats,835 kg,120 mm,35 Litres,,
1025,Hyundai EON,₹1.45 Lakh,2012,"70,000 Kms",Third Owner,Petrol,Manual,FWD,814 cc,55.2 bhp,21.1 kmpl,3.0,No,5 Seats,860 kg,170 mm,32 Litres,,
1026,Hyundai Xcent,₹2.75 Lakh,2014,"80,000 Kms",Second Owner,Diesel,Manual,FWD,1120 cc,71 bhp,24.4 kmpl,3.0,Yes,5 Seats,1100 kg,165 mm,,43 Litres,
1027,Maruti Suzuki Swift Dzire,₹2.20 Lakh,2013,"1,50,000 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,23.4 kmpl,4.0,Yes,5 Seats,1080 kg,170 mm,,42 Litres,
1028,Toyota Corolla Altis,₹3 Lakh,2009,"1,20,000 Kms",Second Owner,Petrol,Manual,FWD,1798 cc,138.1 bhp,14.53 kmpl,4.0,No,5 Seats,1340 kg,175 mm,55 Litres,,
1029,Maruti Suzuki Wagon R,₹2.40 Lakh,2016,"43,000 Kms",Third Owner,Petrol,Manual,FWD,998 cc,67.04 bhp,20.51 kmpl,3.0,No,5 Seats,885 kg,165 mm,35 Litres,,
1030,Maruti Suzuki Wagon R,₹2.03 Lakh,2013,"1,00,000 Kms",Second Owner,Petrol,Manual,FWD,998 cc,67.04 bhp,20.51 kmpl,3.0,No,5 Seats,870 kg,165 mm,35 Litres,,
1031,Hyundai i10,₹1.25 Lakh,2008,"90,000 Kms",Third Owner,Petrol,Manual,FWD,1197 cc,78.9 bhp,20.36 kmpl,4.0,No,5 Seats,930 kg,165 mm,35 Litres,,
1032,Nissan Micra,₹2.50 Lakh,2012,"90,000 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,75 bhp,18.06 kmpl,3.0,No,5 Seats,940 kg,,41 Litres,,
1033,Hyundai Creta,₹5.30 Lakh,2017,"1,50,000 Kms",First Owner,,Manual,FWD,1591 cc,121.3 bhp,15.29 kmpl,4.0,No,5 Seats,"1,300 kg",190 mm,55 Litres,,
1034,Toyota Etios,₹3.20 Lakh,2011,"70,000 Kms",First Owner,Petrol,Manual,,1496 cc,88.73 bhp,17.6 kmpl,4.0,No,5 Seats,920 kg,,45 Litres,,
1035,Maruti Suzuki Baleno,₹4 Lakh,2016,"1,20,000 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,27.39 kmpl,4.0,Yes,5 Seats,985 kg,170 mm,,37 Litres,
1036,Maruti Suzuki Swift Dzire Tour,₹4 Lakh,2018,"1,00,000 Kms",Second Owner,Diesel,Manual,,1248 cc,74.02 bhp,19.95 kmpl,4.0,Yes,5 Seats,945 kg,,,42 Litres,
1037,Honda Amaze,₹4 Lakh,2016,"70,000 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
1038,Maruti Suzuki Swift Dzire,₹4.20 Lakh,2017,"1,90,000 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,26.59 kmpl,4.0,Yes,5 Seats,1045 kg,170 mm,,42 Litres,
1039,Honda Amaze,₹4.70 Lakh,2019,"60,000 Kms",First Owner,Petrol,Manual,FWD,1199 cc,88.76 bhp,19.5 kmpl,4.0,No,5 Seats,921 kg,170 mm,35 Litres,,
1040,Maruti Suzuki Swift Dzire,₹4.55 Lakh,2018,"90,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,860-895 kg,163 mm,37 Litres,,
1041,Hyundai Xcent,₹5.10 Lakh,2018,"28,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,20.14 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
1042,Maruti Suzuki Swift Dzire,₹3.50 Lakh,2016,"70,000 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,83.14 bhp,20.85 kmpl,4.0,No,5 Seats,945 kg,170 mm,42 Litres,,
1043,Hyundai i20,₹4.50 Lakh,2016,"90,000 Kms",First Owner,Diesel,Manual,FWD,1396 cc,88.73 bhp,22.54 kmpl,4.0,Yes,5 Seats,1515 kg,170 mm,,45 Litres,
1044,Maruti Suzuki Baleno,₹5 Lakh,2017,"1,10,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,83.1 bhp,21.4 kmpl,4.0,No,5 Seats,880 kg,170 mm,37 Litres,,
